id,object,name,type,initialization,meaning,scope,writers,readers,reset,clock_unit,identity,protection,roles,evidence
F_DESIRED_GOAL,O_RUNTIME,active_goal_,optional<NavigationGoal>,empty; set after validated goal ingress; cleared on epoch reset/fail-closed paths,runtime desired request identity and route payload,runtime process/request,onGoal/applyValidatedGoalLocked; foreign-mission transition; localization epoch reset; failClosedLocked/goal clear,currentPlanningKey; runCycle request snapshot; candidate admission/activation guard; publishCommand identity checks,clear on localization reset/fail closed; replaced only after goal validation,ROS header stamp in goal; no timer stored in field,"mission_id, waypoint_index, request_id, route_revision, active_goal_epoch",input_mutex_ under canonical localization->input->command transition order,authoritative control state; identity/version,E_RUNTIME_FIELDS; E_GOAL; E_EPOCH; E_COMMIT
F_EXECUTING_GOAL,O_RUNTIME,executing_goal_,optional<NavigationGoal>,empty; may remain old while desired PASS_THROUGH successor is pending,goal identity corresponding to physical command timeline; changes on immediate commit or pending activation,runtime execution episode,admitImmediateCandidate; apply queued timeline activation; epoch/fail-closed invalidation,command timeline/current planning key checks; publishCommand final exposure; recovery attribution,cleared/reinitialized at reset/revocation; swapped on timeline cutover,none,goal tuple + command_goal_epoch + bundle generation,input_mutex_ and command transition mutex; timeline finalization is separate store boundary,authoritative control state; identity/version,E_RUNTIME_FIELDS; E_IMMEDIATE; E_ACTIVATION; E_PUBLISH
F_PENDING_GOAL,O_PENDING_GOAL,PendingGoalHandoffOwner::pending_goal_,NavigationGoal::ConstSharedPtr,empty,single latest admissible same-mission goal deferred while moving safety suffix owns execution,one runtime moving suffix handoff,enqueue after goal admission under suffix guard,measured-stop handoff and pending goal consumption; timeline activation guard,consume exact pointer after successor cutover or clear on invalidation/foreign mission,none,mission/waypoint/request and localization/goal epoch recheck,owner mutex plus runtime transition locks,authoritative control state; identity/version,E_PENDING_GOAL; E_GOAL; E_ACTIVATION
F_ACTIVE_GOAL_EPOCH,O_RUNTIME,active_goal_epoch_,atomic_uint64_t,0,monotonic runtime goal/request invalidation token; distinct from request id,runtime process,validated goal transition; foreign goal transition; epoch/fail-closed paths,PlanningKey/request validation; candidate admission/commit/activation/publication,incremented/bumped by goal and lifecycle changes; zero is invalid in candidate identity,none,not interchangeable with localization_epoch or request_id,atomic plus transition locks for compound state,identity/version,E_RUNTIME_FIELDS; E_GOAL; E_COMMIT
F_LOCALIZATION_EPOCH,O_RUNTIME,active_localization_epoch_ / localization_epoch_ready_,atomic_uint64_t + atomic_bool,epoch 1 / ready true,state/map coordinate lifetime and readiness latch; reset blocks command exposure until new world/state is established,localization episode across callbacks,onPropagatedOdometry/onEstimatorHealth epoch transitions; localization reset handler,"state input, PlanningKey, candidate validate/commit and final command exposure",higher epoch drains/cancels and invalidates; readiness restored only after reset requirements,epoch counter,"PropagatedOdometry.localization_epoch, health epoch, world identity",atomics and localization_transition_mutex_,authoritative control state; latch; identity/version,E_EPOCH; E_RUNTIME_FIELDS; E_PROPAGATED
F_EXEC_RECOVERY,O_EPISODE,ExecutionEpisode::Snapshot::recovery_state,ExecutionRecoveryState enum,InitialHold; state resides in mutex-protected Episode snapshot,runtime's physical execution recovery authority; pure transition helper alone does not commit state,one execution episode and active candidate identity,ExecutionEpisode beginGoal/commandCommitted/observeSampledSafetyRole/stoppedHold/failClosed; runtime applyExecutionRecoveryEventLocked,"planning admission/key, candidate commit, sample handling, command role policy",beginGoal or failClosed changes episode; exact generation checks reject stale mutators,none,"goal epoch, localization epoch, request id, active bundle generation",ExecutionEpisode mutex plus runtime compound transition locks,authoritative control state; derived predicate,E_EPISODE; E_RECOVERY_HELPER; E_RECOVERY_USE; E_EPISODE_TEST
F_FAILURE_LATCH,O_EPISODE,Snapshot::failure_latched / command_execution_lease_failure_latch_,bool + latch object,false / allows initial exposure,fail-closed command stop; latch serializes one-time lease failure while episode denies command,runtime command lifecycle,execution freshness failure in publishCommand; failClosedLocked/ExecutionEpisode; epoch reset,commit/activation/sample/publication guards,explicit fresh lifecycle/reset only; no automatic expiry,none,current command goal and execution epoch,episode mutex and latch transitionMutex_,authoritative control state; latch,E_EPISODE; E_PUBLISH; E_ACTIVATION
F_TIMELINE,O_TIMELINE,active_ / pending_ / version_,shared_ptr<const CandidateBundle> pair + version,empty; updates through guarded store methods,sole runtime committed/executing command bundle authority; pending does not execute before due activation,runtime store lifetime,tryCommitIfCurrent; stagePending; activatePendingIfDueAndFinalize; invalidate/recertify,"CommandSampler, candidate prep/admission, publishIfCurrent, diagnostics",revoke/invalidate on identity/world/state/lifecycle failure,ROS ns valid_from/valid_until/activation,"world snapshot identity, goal/localization epoch, request id, bundle generation, txn/version",store mutex and compare-token rechecks,authoritative control state; identity/version; deadline/counter,E_TIMELINE; E_COMMIT; E_ACTIVATION; E_PUBLISH
F_WORKER_QUEUE,O_WORKER,active_ / pending_,active job + optional latest pending job,none; started with worker,"one serial planner and one replaceable pending request; queue state is scheduling, not execution authority",worker lifetime,submit/cancel/cancelIdentity/shutdown; worker run loop,"worker loop, status snapshots, runtime scheduling",pending replacement/drop and shutdown/join,steady clock for runtime watchdog; job keys include stamps,PlanningKey incl localization/goal/request/world/dynamics identity,worker mutex; planner backend recursive mutex for run/cancel path,authoritative control state for queue only; identity/version,E_WORKER; E_WORKER_TEST
F_MODE_COMMAND,O_MODE,navigation_command_,optional<NavigationCommand>,empty; invalidated at activate/deactivate,last locally admitted ROS command snapshot; not evidence of PX4 application,mode activation and command stream,onNavigationCommand commit transition; transitionCertifiedCommand retain/invalidate; mode activation/deactivation/failure,updateMission continuation/terminal witness; updateSetpoint PVA and lease gates,"invalidate on activation/deactivation, terminal fail/handover and selected command changes",ROS source/valid_until plus steady receive stamp,mission/waypoint/request/epochs/world/generation/sample id,trajectory_mutex_ serializes with mission timer and cache mutations,transport snapshot/cache; identity/version; deadline/counter,E_MODE_FIELDS; E_MODE_ADMISSION; E_MISSION_EVENT; E_SETPOINT
