Field,Current owner,Semantic meaning,Writer(s),Reader(s),Lifetime,Invalidation,Independent info?,Can derive?,Target action,Target owner,Replacement,Equivalence evidence,Category,Type,Source,Blob
NavigationRuntimeNode.registered_scan_topic_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:384,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_odometry_topic_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:385,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.goal_topic_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:386,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.status_topic_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:387,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_topic_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:388,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_config_path_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:389,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planning_frame_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:390,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.body_frame_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:391,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.deployment_profile_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:392,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.tracking_experiment_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,navigation_contracts::TrackingExperimentPolicy,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:393,bcd4235d7abe5dcef8730a751760b130f745cac2
