Field,Cluster,Disposition,Target owner,Replacement / independent information,Confidence,Pinned source,Reason
NavigationRuntimeNode.data_freshness_window_s_,TimingConfiguration,DERIVE,respective boundary,policy parameter,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:394,Derived from canonical typed witness/value; requires equivalence test at migration.
NavigationRuntimeNode.data_freshness_window_ns_,TimingConfiguration,KEEP,respective boundary,policy parameter,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:395,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.command_stream_timeout_ns_,TimingConfiguration,KEEP,respective boundary,policy parameter,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:396,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planner_watchdog_timeout_s_,TimingConfiguration,DERIVE,respective boundary,policy parameter,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:397,Derived from canonical typed witness/value; requires equivalence test at migration.
NavigationRuntimeNode.planner_watchdog_timeout_ns_,TimingConfiguration,KEEP,respective boundary,policy parameter,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:398,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.dynamics_hash_,DynamicsIdentity,KEEP,PlanningContext,dynamics identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:409,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mission_dynamic_limits_,DynamicsIdentity,KEEP,PlanningContext,dynamics identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:410,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.execution_state_store_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:434,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.execution_episode_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:435,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.active_goal_,DesiredMissionIntent,MOVE,MissionProgressShadow,mission intent identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:436,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mission_start_position_world_,RouteGeometry,KEEP,MissionProgressShadow,route geometry and ordered segments,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:440,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mission_start_mission_id_,RouteGeometry,KEEP,MissionProgressShadow,route geometry and ordered segments,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:441,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mission_start_route_revision_,RouteGeometry,KEEP,MissionProgressShadow,route geometry and ordered segments,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:442,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mission_start_localization_epoch_,RouteGeometry,KEEP,MissionProgressShadow,route geometry and ordered segments,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:443,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.executing_goal_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:447,Conservative cluster disposition; nested product implementation may stay in its boundary.
