object_id,symbol,instance,field_id,field,type,role,initialization,writer/reset,reader,meaning,clear/invalidation,protection,evidence_ids
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-GOAL-EPOCH,goal_epoch,uint64,desired identity/version,0,beginGoal/reset,desiredPlanningKey and bundleIdentityMatchesEpisode,desired goal epoch may advance before active command changes,reset/clear or next goal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-REQUEST-ID,request_id,uint64,desired identity/version,0,beginGoal/reset,desiredPlanningKey and bundleIdentityMatchesEpisode,desired request may be newer than active command,reset/clear or next goal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-ACTIVE-GOAL-EPOCH,active_command_goal_epoch,uint64,active execution identity,0 until commit,commandCommitted; nonretaining beginGoal/reset clears,activeBundleIdentityMatches and retained/sample handlers,goal epoch of command actually active,reset/nonretaining beginGoal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-ACTIVE-REQUEST-ID,active_command_request_id,uint64,active execution identity,0 until commit,commandCommitted; nonretaining beginGoal/reset clears,activeBundleIdentityMatches and retained/sample handlers,request id of command actually active,reset/nonretaining beginGoal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-ACTIVE-GENERATION,active_generation,uint64,active execution identity/version,0 until commit,commandCommitted; nonretaining beginGoal/reset clears,active bundle generation and observation guards,bundle generation actually active,reset/nonretaining beginGoal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-AVAILABLE,command_available,bool,command exposure gate/latch,false,commit true; suspend/fail/reset false,sample and retention/admission,runtime episode permission to expose/sample active command; does not mean adapter accepted it or PX4 applied it,"suspend, fail-close, reset",internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-FAIL,failure_latched,bool,fail-closed latch,false,failClosed true; eligible commit/reset clear,commit/retention gates,runtime episode has failed closed,eligible commit/reset,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-SUFFIX,safety_suffix_active,bool,safety-role latch/decision input,false,commit/sampled role/preserve; stop/reset clears,"pending goal, retarget and nominal gates",BACKUP/EMERGENCY suffix owns handoff,nominal/stop/reset,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-RECOVERY,recovery_state,ExecutionRecoveryState,recovery policy authority,InitialHold,role/recovery event/stopped/fail/reset,planning/timeout/admission,runtime recovery policy distinct from sampled phase and adapter mission state,reset/new nonretained goal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-EP-PHASE,phase,ExecutionEpisodePhase,sampled phase,InitialHold,commit/retained/sample role/stopped/fail/reset,planning phase guards,"sampled runtime phase, distinct from recovery_state",reset/new nonretained goal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-EP-RESTART,restart_from_rest,bool,recovery request latch,false,requestRestartFromRest/clearRestartFromRest/fail/reset,currentPlanningKey and PlanFromRest selection,requests restart from measured stopped state,success/fail/reset/new goal,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-EP,navigation_runtime::ExecutionEpisode,NavigationRuntimeNode::execution_episode_ per runtime node,F-EP-LOCALIZATION,localization_epoch,uint64,identity/version,0/reset,reset and localization activation,planning key and active bundle gates,localization identity for execution episode,reset/new localization epoch,internal mutex; runtime transition locks coordinate cross-object commit,ev-episode-snapshot;ev-episode-goal-commit;ev-episode-observe;ev-episode-suspend-stop
O-PENDING,navigation_runtime::PendingGoalHandoffOwner,NavigationRuntimeNode::pending_goal_owner_,F-PENDING,pending_goal_,nullable immutable NavigationGoal pointer,pending payload authority/identity,empty,strictly newer same-mission enqueue or clear,recovery planning/status/exact consume,one successor waiting for suffix stop and replacement commit,exact pointer consumed after successful commit or explicit clear,goal_mutex_; caller serializes ownership decision in input/transition transaction,ev-pending-goal;ev-goal-input;ev-episode-test;ev-fsm-test
O-STORE,navigation_execution::CommittedBundleStore,owned by each NavigationRuntimeNode,F-TIMELINE-VERSION,ExecutionTimelineSnapshot::version,uint64,transaction version,0,stage/commit/activate/world update/revoke,compare/finalizer rechecks,store transaction version,store advances/reinitializes,store synchronization plus runtime transaction locks,ev-timeline-fields;ev-world-resume;ev-publish-world-gate
O-STORE,navigation_execution::CommittedBundleStore,owned by each NavigationRuntimeNode,F-TIMELINE-WORLD,ExecutionTimelineSnapshot::world_identity,optional WorldSnapshotIdentity,identity/version,empty,validated commit/world update/reset,admission/recertification guards,world certificate identity associated with timeline,replacement/invalidation,store synchronization plus runtime transaction locks,ev-timeline-fields;ev-world-resume;ev-publish-world-gate
O-STORE,navigation_execution::CommittedBundleStore,owned by each NavigationRuntimeNode,F-ACTIVE-BUNDLE,ExecutionTimelineSnapshot::active,shared_ptr<const CandidateBundle>,active payload authority,empty,commit/activation/world retain/invalidate,publishCommand/active identity/recertification,currently active immutable bundle,replace/invalidate/revoke/reset,store synchronization plus runtime transaction locks,ev-timeline-fields;ev-world-resume;ev-publish-world-gate
O-STORE,navigation_execution::CommittedBundleStore,owned by each NavigationRuntimeNode,F-PENDING-BUNDLE,ExecutionTimelineSnapshot::pending,shared_ptr<const CandidateBundle>,staged successor payload,empty,stage/activate/cancel/invalidate,activation finalizer and timeline validation,successor can be staged while active command remains sampleable,activate/cancel/revoke/reset,store synchronization plus runtime transaction locks,ev-timeline-fields;ev-world-resume;ev-publish-world-gate
O-STORE,navigation_execution::CommittedBundleStore,owned by each NavigationRuntimeNode,F-PENDING-ACTIVATION,pending_activation_ns,int64 ns; activation clock nanoseconds,activation deadline,0,stage/activation/reset,publish tick and activation finalizer,producer-declared successor activation boundary,activate/cancel/reset,store synchronization plus runtime transaction locks,ev-timeline-fields;ev-world-resume;ev-publish-world-gate
O-WORLD-LATCH,NavigationRuntimeNode world freshness suspension owner,one per runtime node,F-SUSPENDED,world_freshness_suspended_bundle_generation_,atomic uint64; zero means none; 0 means no generation latched,resume latch/identity version,0,stale world stores exact active generation; exact resume/revoke clears,mapping recertification guard,"resume witness, not a second payload owner",resume/fail/revoke/reset,atomics + transition mutex; canonical locks on resume,ev-runtime-fields;ev-world-suspend;ev-world-resume;ev-publish-world-gate
O-RUNTIME-TIMER,NavigationRuntimeNode stopped retry timer,one per runtime node,F-RETRY-START,plan_from_rest_first_failure_steady_ns_,int64 steady-clock nanoseconds,deadline/counter,0,first failed current PlanFromRest; new goal/lifecycle/success clears,same result handler computes elapsed/stopped timeout,"retry starts at first failed result, not stop or first solve",eligible success/new episode,identity-checked runtime critical section,ev-runtime-fields;ev-recovery-failure;ev-recovery-clear;ev-planning-timing;ev-fsm-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-COMMAND-CACHE,navigation_command_,optional NavigationCommand,transport snapshot/cache,empty,accepted command callback under trajectory_mutex,updateMission/updateSetpoint/safety stop,"last adapter-accepted command, not PX4-applied state",replacement/expiry/lifecycle/safety stop,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-COMMAND-RECEIVE,last_command_receive_ns_,int64 adapter ROS-clock nanoseconds,receive time/deadline,0,accepted command callback,lease/freshness checks,adapter receive time distinct from header/source time,lifecycle/cache invalidation,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-PENDING,planner_recovery_pending_,bool,endpoint recovery latch,false,completed endpoint accepted; READY/STOP/lifecycle clears,updateMission/updateSetpoint and expiry,adapter endpoint recovery episode active,timeout/replacement/goal/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-DEADLINE,planner_recovery_deadline_ns_,int64 adapter ROS-clock nanoseconds,deadline,0,completed endpoint starts; clear helper resets,plannerRecoveryWaitExpired and terminal hold allowance,end time in adapter ROS clock,timeout/replacement/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
